query,model,retrieved,relevant,relevant_retrieved,precision,recall,f_measure,ap,rr
artificial intelligence,bm25,10,5,2,0.2,0.4,0.26666666666666666,0.4,1.0
computer science,bm25,10,7,4,0.4,0.5714285714285714,0.47058823529411764,0.29999999999999993,0.3333333333333333
problem solving,bm25,10,5,5,0.5,1.0,0.6666666666666666,0.9428571428571428,1.0
system performance,bm25,10,6,2,0.2,0.3333333333333333,0.25,0.3333333333333333,1.0
machine learning,bm25,10,5,5,0.5,1.0,0.6666666666666666,1.0,1.0
artificial intelligence,tfidf,10,5,3,0.3,0.6,0.4,0.48571428571428565,1.0
computer science,tfidf,10,7,5,0.5,0.7142857142857143,0.588235294117647,0.7142857142857143,1.0
problem solving,tfidf,10,5,5,0.5,1.0,0.6666666666666666,1.0,1.0
system performance,tfidf,10,6,5,0.5,0.8333333333333334,0.625,0.4703703703703703,0.5
machine learning,tfidf,10,5,5,0.5,1.0,0.6666666666666666,0.9266666666666665,1.0
